Product,Price,Link
,,
Lenovo Ideapad Slim 5i Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 15 ITL 05 Thin and Light ...,"₹63,990",/lenovo-ideapad-slim-5i-core-i5-11th-gen-16-gb-512-gb-ssd-windows-10-home-15-itl-05-thin-light-laptop/p/itmb81a5cad7c644?pid=COMG3TZGFGYDYGPD&lid=LSTCOMG3TZGFGYDYGPDL4JYXG&marketplace=FLIPKART&q=lenovo+laptops&store=6bo%2Fb5g&otracker=search&fm=organic&iid=f890ab78-27b7-404b-96c6-f89a0dd71629.COMG3TZGFGYDYGPD.SEARCH&ppt=None&ppn=None&ssid=dfok32ebtc0000001638026956087&qH=161c8e3fab4e96bc
,,
Lenovo Ideapad Slim 5i Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 15 ITL 05 Thin and Light ...,"₹63,990",/lenovo-ideapad-slim-5i-core-i5-11th-gen-16-gb-512-gb-ssd-windows-10-home-15-itl-05-thin-light-laptop/p/itmb81a5cad7c644?pid=COMG3TZGFGYDYGPD&lid=LSTCOMG3TZGFGYDYGPDL4JYXG&marketplace=FLIPKART&q=lenovo+laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=9a77aba3-97cc-4527-b4a3-7d01325d18a5.COMG3TZGFGYDYGPD.SEARCH&ppt=None&ppn=None&ssid=5gel4s1fls0000001638026958408&qH=161c8e3fab4e96bc
,,
Lenovo IdeaPad 3 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) 81WB010XIN||81WB0112IN||81WB0158...,"₹37,990",/lenovo-ideapad-3-core-i3-10th-gen-4-gb-256-gb-ssd-windows-10-home-81wb010xin-81wb0112in-81wb0158in-thin-light-laptop/p/itmd51b4c7b23f16?pid=COMG4WZ7FBP4SDAA&lid=LSTCOMG4WZ7FBP4SDAAJQTXR0&marketplace=FLIPKART&q=lenovo+laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=5a9ef538-7ee5-413f-84fe-8a257355f032.COMG4WZ7FBP4SDAA.SEARCH&ppt=None&ppn=None&ssid=1yl6kh65ts0000001638026959434&qH=161c8e3fab4e96bc
,,
Lenovo IdeaPad 5 Pro Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL6 Thin and Light Lapto...,"₹69,990",/lenovo-ideapad-5-pro-core-i5-11th-gen-16-gb-512-gb-ssd-windows-10-home-14itl6-thin-light-laptop/p/itm46fc42d6f5374?pid=COMG62ZCV7GMHKUJ&lid=LSTCOMG62ZCV7GMHKUJUD1NFG&marketplace=FLIPKART&q=lenovo+laptops&store=6bo%2Fb5g&srno=s_3_49&otracker=search&fm=organic&iid=4472da37-c06e-4453-a847-cc9dbe528918.COMG62ZCV7GMHKUJ.SEARCH&ppt=None&ppn=None&ssid=v0de4wyg5s0000001638026960883&qH=161c8e3fab4e96bc
,,
Lenovo Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 82BH004HIN Laptop,"₹1,03,490",/lenovo-core-i7-11th-gen-16-gb-512-gb-ssd-windows-10-home-82bh004hin-laptop/p/itm49c00263f5346?pid=COMG332AR95J9MJG&lid=LSTCOMG332AR95J9MJGN6HYEI&marketplace=FLIPKART&q=lenovo+laptops&store=6bo%2Fb5g&srno=s_4_73&otracker=search&fm=organic&iid=f5ae72ad-a62f-412e-9398-5e8e817c08c6.COMG332AR95J9MJG.SEARCH&ppt=None&ppn=None&ssid=8agyyw45o00000001638026963645&qH=161c8e3fab4e96bc
,,
Lenovo V15 Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) V15 G2 ITL Thin and Light Laptop,"₹38,990",/lenovo-v15-core-i3-11th-gen-4-gb-256-gb-ssd-windows-10-home-g2-itl-thin-light-laptop/p/itm0d37f13478826?pid=COMG7WNRQJ2VGTNB&lid=LSTCOMG7WNRQJ2VGTNBTU5WBW&marketplace=FLIPKART&q=lenovo+laptops&store=6bo%2Fb5g&srno=s_5_97&otracker=search&fm=organic&iid=eb61e2c3-ea20-4737-af61-38ac91e7deb2.COMG7WNRQJ2VGTNB.SEARCH&ppt=None&ppn=None&ssid=e1uay53lj40000001638026972726&qH=161c8e3fab4e96bc
,,
Lenovo Ideapad Slim 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 3 14ITL6 Ub 2 in 1 ...,"₹49,539",/lenovo-ideapad-slim-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-14itl6-ub-2-1-laptop/p/itm2e3534301cd42?pid=COMG679BAEHYXXBF&lid=LSTCOMG679BAEHYXXBFXRJG07&marketplace=FLIPKART&q=lenovo+laptops&store=6bo%2Fb5g&srno=s_6_121&otracker=search&fm=organic&iid=cd1404c2-350b-4ebc-a423-c26e48ee14c5.COMG679BAEHYXXBF.SEARCH&ppt=None&ppn=None&ssid=fwyc99xndc0000001638026974337&qH=161c8e3fab4e96bc
