Product,Price,Link
,,
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹14,999",/samsung-galaxy-f22-denim-blue-128-gb/p/itm30c755943bea0?pid=MOBG43UGRSMJXTMH&lid=LSTMOBG43UGRSMJXTMH3SYSZ3&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&otracker=search&fm=organic&iid=f83aa6ea-4241-4cb3-ae0d-f69da9b17112.MOBG43UGRSMJXTMH.SEARCH&ppt=None&ppn=None&ssid=85805qmi4w0000001638025400552&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹14,999",/samsung-galaxy-f22-denim-blue-128-gb/p/itm30c755943bea0?pid=MOBG43UGRSMJXTMH&lid=LSTMOBG43UGRSMJXTMH3SYSZ3&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=f1fe1169-8173-44ee-876e-9c7a5e524f86.MOBG43UGRSMJXTMH.SEARCH&ppt=None&ppn=None&ssid=xjpmxvkqj40000001638025401608&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy M11 (Metallic Blue, 64 GB)","₹11,749",/samsung-galaxy-m11-metallic-blue-64-gb/p/itm1a7c4dfe52d9c?pid=MOBFRZZHZGSRRWUZ&lid=LSTMOBFRZZHZGSRRWUZKTVEHF&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_2_25&otracker=search&fm=organic&iid=1635ff09-a0d2-415e-bbb2-89c5ac271fa1.MOBFRZZHZGSRRWUZ.SEARCH&ppt=None&ppn=None&ssid=b00a8d9n4g0000001638025402558&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy A12 (Blue, 128 GB)","₹15,499",/samsung-galaxy-a12-blue-128-gb/p/itm55c50aa54e313?pid=MOBG5D9XSW82BZBG&lid=LSTMOBG5D9XSW82BZBGCB0CXS&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_3_49&otracker=search&fm=organic&iid=841211c8-2ce2-4c1b-953e-19dbf75835ed.MOBG5D9XSW82BZBG.SEARCH&ppt=None&ppn=None&ssid=pmw14c2nnk0000001638025404001&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy A72 (Awesome Black, 128 GB)","₹34,999",/samsung-galaxy-a72-awesome-black-128-gb/p/itme6d14bf36c7af?pid=MOBGF8GPFCD25ZU5&lid=LSTMOBGF8GPFCD25ZU5JZAVTA&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_4_73&otracker=search&fm=organic&iid=44a7f5e5-0114-49f5-a649-108ae67a888b.MOBGF8GPFCD25ZU5.SEARCH&ppt=None&ppn=None&ssid=92v6jzbk680000001638025405882&qH=0258c7d48242959a
,,
SAMSUNG Guru 1200,"₹1,200",/samsung-guru-1200/p/itme6gz6jczu5ygz?pid=MOBDADKKAEHYYA3G&lid=LSTMOBDADKKAEHYYA3GKJS0FZ&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_5_97&otracker=search&fm=organic&iid=3da4fe55-0a9a-49f1-a25e-76a962d7ae04.MOBDADKKAEHYYA3G.SEARCH&ppt=None&ppn=None&ssid=6x8idvk9e80000001638025407022&qH=0258c7d48242959a
,,
"SAMSUNG M31s (Mirage Blue, 128 GB)","₹24,999",/samsung-m31s-mirage-blue-128-gb/p/itm3c444f9c5c566?pid=MOBFUZYBUZWNKB6G&lid=LSTMOBFUZYBUZWNKB6GR5CFZT&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_6_121&otracker=search&fm=organic&iid=eb53d9b0-2e62-49cc-95a4-bf351cc99fe1.MOBFUZYBUZWNKB6G.SEARCH&ppt=None&ppn=None&ssid=swcoqv56sw0000001638025408015&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy A20 (Gold, 32 GB)","₹12,900",/samsung-galaxy-a20-gold-32-gb/p/itmfhhqg5mxczxc9?pid=MOBFHCRGDFASPZRA&lid=LSTMOBFHCRGDFASPZRAQZAGZL&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_7_145&otracker=search&fm=organic&iid=f6883071-bacd-4b2e-ba8d-91dba39890f1.MOBFHCRGDFASPZRA.SEARCH&ppt=None&ppn=None&ssid=pc92te5wqo0000001638025420775&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy J7 Duo (Gold, 32 GB)","₹17,889",/samsung-galaxy-j7-duo-gold-32-gb/p/itmf47drzyrf4mrr?pid=MOBF47DRCVEP9HMF&lid=LSTMOBF47DRCVEP9HMFRUQ3KS&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_8_169&otracker=search&fm=organic&iid=e48a6152-61f1-4564-86a8-7b0bb441188a.MOBF47DRCVEP9HMF.SEARCH&ppt=None&ppn=None&ssid=6nl8bcaids0000001638025422344&qH=0258c7d48242959a
,,
"SAMSUNG Galaxy J2 2018 (Gold, 16 GB)","₹7,500",/samsung-galaxy-j2-2018-gold-16-gb/p/itmf5yh2sbgf3h8n?pid=MOBF47DRKFBAYVFX&lid=LSTMOBF47DRKFBAYVFXNQ8WIM&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_9_193&otracker=search&fm=organic&iid=6045a363-9724-4679-9324-331e382f6d80.MOBF47DRKFBAYVFX.SEARCH&ppt=None&ppn=None&ssid=968lbasv2o0000001638025423367&qH=0258c7d48242959a
,,
